O*NET-SOC Code,Title,Reading Comprehension,Active Listening,Writing,Speaking,Mathematics,Science,Critical Thinking,Active Learning,Learning Strategies,Monitoring,Social Perceptiveness,Coordination,Persuasion,Negotiation,Instructing,Service Orientation,Complex Problem Solving,Operations Analysis,Technology Design,Equipment Selection,Installation,Programming,Operations Monitoring,Operation and Control,Equipment Maintenance,Troubleshooting,Repairing,Quality Control Analysis,Judgment and Decision Making,Systems Analysis,Systems Evaluation,Time Management,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Auto label value
31-9095.00,Pharmacy Aides,3.25,3.0,2.5,2.88,2.38,0.5,2.88,2.5,2.25,2.62,2.88,2.75,1.75,1.62,2.0,3.12,2.38,0.5,0.62,0.38,0.0,0.5,1.62,1.0,0.5,0.88,0.12,1.75,2.25,1.5,1.12,2.25,0.88,1.38,1.62,
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,3.12,3.25,3.25,3.0,2.62,2.38,3.12,3.0,2.12,3.12,3.0,3.0,2.25,2.25,2.88,3.12,2.25,1.62,0.88,0.75,0.0,0.38,2.12,1.88,0.75,1.75,0.62,2.0,2.75,2.0,2.0,2.38,1.75,2.0,2.0,
31-9097.00,Phlebotomists,3.25,3.5,3.0,3.75,2.12,2.12,3.25,3.0,3.0,3.0,3.25,3.0,2.5,1.75,3.0,3.25,2.38,0.25,0.62,1.0,0.0,0.62,1.75,1.25,0.75,1.62,0.62,2.25,2.62,2.0,1.88,3.0,0.75,1.12,2.38,
31-9099.01,Speech-Language Pathology Assistants,3.75,4.0,3.38,3.75,2.38,1.38,3.5,2.75,3.12,3.5,3.75,3.12,2.75,2.62,3.12,3.38,3.12,0.62,1.38,0.5,0.0,0.38,1.75,0.5,0.5,0.25,0.25,0.25,3.12,2.88,3.12,3.0,1.12,1.5,2.5,
31-9099.02,Endoscopy Technicians,4.0,3.38,3.0,3.12,2.12,0.88,3.25,3.0,2.38,3.12,3.12,3.0,2.5,2.12,2.88,3.0,2.62,0.25,0.5,2.12,0.0,0.38,3.0,3.0,2.88,2.75,2.38,2.88,3.0,2.25,2.12,2.5,0.5,1.12,2.0,
33-1011.00,First-Line Supervisors of Correctional Officers,4.0,4.0,3.62,4.0,2.0,0.5,4.0,3.25,3.12,4.25,4.0,4.0,3.62,3.12,3.38,3.0,3.25,1.62,0.62,0.0,0.0,0.5,2.0,1.62,0.0,1.0,0.0,1.88,3.25,3.12,3.12,3.88,1.25,1.88,4.0,
33-1012.00,First-Line Supervisors of Police and Detectives,4.0,4.12,3.88,4.0,2.62,1.12,4.12,3.88,3.88,4.38,4.0,4.0,4.0,3.5,4.0,3.38,4.0,2.62,0.88,0.0,0.0,1.0,2.38,2.12,0.0,1.12,0.0,2.0,3.62,3.25,3.38,4.12,3.0,2.88,4.0,
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,3.94,3.94,3.75,4.0,3.19,2.25,4.12,3.88,3.63,4.38,3.69,4.12,3.44,3.0,3.62,3.5,4.0,3.0,1.06,2.25,0.0,0.56,3.12,3.12,2.56,2.62,2.19,3.25,4.0,3.5,3.56,3.88,1.88,2.31,3.94,
33-2011.00,Firefighters,3.5,3.5,2.94,3.19,2.25,1.63,3.75,3.0,3.0,3.69,3.06,3.81,3.0,3.0,3.06,3.25,2.94,1.0,1.0,2.63,0.06,0.25,3.12,3.06,2.81,2.94,2.88,2.69,3.25,3.0,2.88,3.0,0.94,1.87,2.75,
33-2021.00,Fire Inspectors and Investigators,4.06,4.06,3.81,3.94,2.81,3.19,4.06,3.62,3.0,3.44,3.19,3.25,3.06,2.81,3.0,2.94,3.5,1.44,0.81,0.69,0.0,0.88,2.81,2.38,0.44,2.44,0.25,2.75,3.81,2.94,3.06,3.12,1.12,1.19,2.56,
33-2022.00,Forest Fire Inspectors and Prevention Specialists,3.38,3.25,3.0,3.38,2.38,1.75,3.88,3.25,3.12,3.38,2.88,3.75,3.12,2.88,3.0,3.0,3.25,1.0,0.88,1.38,0.0,0.62,2.62,2.38,1.38,2.12,1.12,2.25,3.25,3.12,3.12,3.38,1.12,1.75,3.38,
33-3011.00,Bailiffs,2.88,3.12,2.25,3.0,0.75,0.0,3.12,2.12,2.0,3.25,3.38,2.88,2.88,2.75,2.12,2.5,2.38,0.25,0.38,0.0,0.0,0.25,1.5,0.75,0.0,0.38,0.0,1.12,3.0,1.38,0.75,2.38,0.25,0.38,2.12,
33-3012.00,Correctional Officers and Jailers,3.75,3.38,3.12,3.62,2.0,0.62,3.62,3.0,3.0,3.88,3.75,3.62,3.12,3.0,3.0,2.75,2.75,0.5,0.62,0.0,0.0,0.5,2.25,2.0,0.0,1.62,0.0,1.88,3.0,2.5,2.38,3.0,0.12,0.38,2.5,
33-3021.00,Detectives and Criminal Investigators,3.94,4.06,3.75,4.0,2.19,2.31,4.12,3.69,3.0,3.19,3.75,3.25,3.38,3.5,3.06,3.06,3.88,1.81,0.88,0.32,0.0,0.81,2.5,2.31,0.0,1.12,0.0,1.62,3.81,2.75,3.06,3.06,1.0,1.06,2.81,
33-3021.02,Police Identification and Records Officers,4.12,3.88,3.25,3.88,2.38,1.0,4.0,3.25,2.88,3.25,3.25,2.88,3.0,3.0,3.12,2.75,3.12,0.62,0.75,0.5,0.0,0.62,2.62,2.62,0.0,0.75,0.0,1.75,3.12,2.75,2.25,2.88,0.75,1.25,2.5,
33-3021.06,Intelligence Analysts,4.75,4.12,4.0,4.12,3.12,1.75,4.25,3.5,3.12,3.5,3.25,3.5,3.12,3.12,3.25,3.12,3.88,1.88,1.38,0.0,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.25,3.88,3.0,3.0,3.0,1.0,1.0,2.25,
33-3031.00,Fish and Game Wardens,4.12,3.75,3.38,3.62,2.88,2.75,4.0,3.5,3.0,3.5,3.5,3.38,3.38,2.88,3.12,3.12,3.25,2.5,0.75,1.25,0.0,0.5,2.62,2.88,1.88,1.88,1.88,2.75,3.25,3.25,3.25,3.0,0.75,0.62,2.88,
33-3041.00,Parking Enforcement Workers,2.88,3.0,2.38,3.0,1.75,0.0,3.0,2.38,2.38,3.0,2.88,2.75,2.12,2.12,2.75,2.88,2.38,0.38,0.38,1.12,0.0,0.75,2.12,2.25,1.62,2.0,1.0,2.0,2.25,2.12,1.75,2.62,0.38,0.38,2.38,
33-3051.00,Police and Sheriff's Patrol Officers,3.88,4.0,3.31,3.94,1.81,0.81,3.94,3.19,3.0,3.44,4.0,3.75,3.81,4.0,3.12,3.75,3.44,1.69,0.56,0.06,0.0,0.38,2.44,2.56,0.0,1.0,0.0,1.75,3.56,2.81,2.88,3.31,0.69,1.38,2.81,
33-3051.04,Customs and Border Protection Officers,3.88,4.0,3.75,4.0,2.12,1.12,3.88,3.12,2.88,3.75,3.38,3.38,3.12,3.0,3.0,3.0,3.0,0.62,0.5,0.0,0.0,0.5,2.25,2.12,0.0,0.88,0.0,1.88,3.5,2.38,2.5,3.25,0.75,1.12,2.75,
33-3052.00,Transit and Railroad Police,3.25,3.25,3.0,3.88,2.0,0.12,3.38,3.0,3.25,3.5,3.25,3.25,3.38,3.12,3.0,3.0,3.0,1.75,0.62,0.0,0.0,0.75,2.25,2.25,0.0,1.5,0.0,1.62,3.12,2.75,2.25,3.12,1.12,1.12,2.88,
33-9011.00,Animal Control Workers,3.0,3.38,2.88,3.0,1.25,0.25,3.5,2.88,2.62,2.88,2.88,3.0,2.88,2.5,2.62,2.88,2.75,1.38,0.25,0.38,0.0,0.38,1.75,1.5,0.12,0.38,0.0,1.25,2.88,1.88,2.12,2.88,0.75,1.0,2.0,
33-9021.00,Private Detectives and Investigators,4.0,4.12,3.62,3.88,2.12,0.62,4.12,3.38,2.12,3.5,3.5,2.88,3.0,2.88,2.25,2.88,3.0,1.5,0.62,0.38,0.0,1.0,0.88,1.38,0.0,0.38,0.0,1.25,3.38,2.88,2.88,3.0,1.12,1.0,2.0,
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,3.5,3.25,3.12,3.62,1.75,0.25,3.75,3.12,2.88,3.88,2.88,3.0,2.38,2.38,3.0,2.38,2.5,0.5,0.62,0.0,0.0,0.38,2.12,1.62,0.0,0.75,0.25,1.88,3.12,2.25,2.38,3.0,0.62,0.62,2.5,
33-9032.00,Security Guards,3.0,2.88,2.88,2.75,0.75,0.5,2.88,2.5,2.25,3.12,2.62,2.88,2.5,2.0,2.12,2.62,2.25,0.5,0.12,0.12,0.0,0.0,2.12,1.88,0.12,1.12,0.12,1.38,2.25,1.0,1.38,2.0,0.25,0.38,1.75,
33-9091.00,Crossing Guards and Flaggers,2.0,2.75,1.75,2.5,0.62,0.0,2.5,1.62,0.88,2.62,2.5,2.5,1.75,1.38,1.5,2.62,1.88,0.25,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.38,0.0,0.25,2.5,0.88,0.75,1.62,0.38,0.5,1.0,
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2.88,3.12,2.62,3.0,0.62,0.62,3.0,2.75,3.0,3.5,3.25,2.88,2.5,2.0,2.5,3.12,2.62,0.25,0.0,0.5,0.0,0.0,1.25,0.5,0.25,0.75,0.25,1.5,3.0,1.12,1.38,1.88,0.12,0.38,2.0,
33-9093.00,Transportation Security Screeners,3.0,3.5,2.62,3.0,1.62,1.0,3.5,3.0,2.75,3.12,3.0,3.38,3.0,2.5,2.88,2.75,2.75,1.38,0.0,1.62,0.0,0.88,2.88,2.5,1.5,1.88,1.25,2.5,2.88,2.0,2.38,2.12,1.0,1.12,2.38,
33-9099.02,Retail Loss Prevention Specialists,3.62,3.25,3.25,3.5,2.75,0.25,3.62,3.0,2.75,3.5,3.12,3.12,2.88,2.62,3.0,2.75,2.88,0.75,0.88,0.38,0.0,1.0,2.38,1.38,0.0,1.88,0.0,2.25,3.0,2.75,3.0,2.75,1.62,1.5,2.88,
35-1011.00,Chefs and Head Cooks,3.25,3.62,3.0,3.88,3.12,0.75,3.88,3.75,3.25,4.12,3.75,4.0,3.75,3.75,3.12,3.12,3.25,2.38,1.12,1.88,0.0,0.5,2.75,2.0,1.12,1.75,1.0,3.12,3.25,3.0,3.0,3.88,3.12,3.25,3.75,0.0
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,3.5,3.12,3.12,3.75,3.0,0.0,4.0,3.25,3.12,3.75,3.62,3.75,3.25,3.0,3.0,3.62,3.0,1.62,0.62,0.12,0.0,0.38,2.0,1.88,0.12,1.38,0.0,2.62,3.0,3.0,3.25,3.62,2.88,2.75,3.62,
35-2011.00,"Cooks, Fast Food",2.62,2.38,2.0,2.12,1.62,0.0,2.38,2.25,1.62,2.25,2.62,2.12,2.12,2.12,2.0,2.12,2.12,0.38,0.25,0.0,0.0,0.0,1.75,1.5,0.0,0.0,0.0,1.25,2.12,1.25,1.12,2.12,0.62,0.38,1.5,1.0
35-2012.00,"Cooks, Institution and Cafeteria",2.88,3.0,2.62,2.88,2.75,0.0,2.88,2.88,2.75,3.0,2.88,3.12,2.5,2.0,2.75,3.0,2.88,1.62,0.75,0.62,0.0,0.0,2.38,2.0,0.25,1.12,0.0,2.5,2.88,2.0,2.12,3.0,1.88,2.62,3.0,
35-2013.00,"Cooks, Private Household",3.0,2.88,2.5,3.0,2.0,0.5,3.0,3.12,2.25,3.0,2.88,2.88,2.62,1.75,0.62,3.62,2.88,2.0,0.75,0.62,0.0,0.25,2.0,1.88,0.0,1.25,0.0,2.12,2.75,2.0,1.88,2.88,2.62,3.0,2.5,
35-2014.00,"Cooks, Restaurant",2.38,3.0,2.5,3.0,2.25,0.38,3.0,2.75,2.38,3.12,2.88,3.12,2.12,2.25,2.5,2.38,2.12,0.75,0.25,1.12,0.0,0.12,2.38,2.0,0.0,1.25,0.0,2.5,2.62,2.0,2.12,3.0,1.75,2.12,2.5,
35-2015.00,"Cooks, Short Order",2.75,2.88,2.62,2.88,2.0,0.0,2.75,2.62,2.25,2.88,2.75,3.0,2.62,2.25,2.38,2.88,2.12,0.25,0.75,0.25,0.0,0.12,1.88,0.75,0.0,1.5,0.0,1.62,2.38,1.12,1.88,2.75,1.5,1.88,2.25,
35-2021.00,Food Preparation Workers,2.12,2.38,2.12,2.12,1.88,0.0,2.12,2.12,2.12,2.12,2.12,2.12,2.0,1.75,2.12,2.12,2.12,0.25,0.12,0.12,0.0,0.0,1.88,1.38,0.0,1.38,0.0,1.88,2.12,1.25,1.25,2.25,0.62,0.88,1.88,
35-3011.00,Bartenders,3.0,3.12,3.0,3.0,2.12,0.0,2.88,3.0,2.88,3.0,3.0,3.0,3.0,2.88,3.0,3.12,2.62,0.0,0.5,0.25,0.0,0.25,2.0,0.88,0.12,1.25,0.0,1.88,2.88,2.0,2.12,2.5,2.0,2.12,2.5,
35-3023.00,Fast Food and Counter Workers,2.31,2.56,2.19,2.69,1.94,0.0,2.44,2.06,2.25,2.25,2.5,2.81,2.25,1.87,2.19,2.81,2.19,0.06,0.12,0.0,0.0,0.06,1.81,0.94,0.0,0.94,0.0,1.69,2.19,1.69,1.69,2.19,0.94,1.0,2.06,
35-3023.01,Baristas,2.75,2.62,2.38,2.62,2.0,0.0,2.75,2.62,2.0,2.5,2.62,2.75,2.5,2.5,2.5,2.88,2.25,0.25,0.5,1.12,0.0,0.0,2.38,2.25,1.62,1.62,1.5,1.88,2.25,1.38,1.25,2.38,1.12,1.12,1.88,
35-3031.00,Waiters and Waitresses,2.38,2.88,2.12,2.5,1.75,0.0,2.75,2.12,2.12,2.75,2.75,2.75,2.12,2.12,2.12,2.88,2.12,0.0,0.12,0.0,0.0,0.12,1.38,0.75,0.0,0.62,0.0,1.25,2.25,1.25,1.38,2.25,0.62,0.5,2.12,0.0
35-3041.00,"Food Servers, Nonrestaurant",2.12,2.38,2.12,2.5,1.5,0.0,2.38,2.12,2.12,2.25,2.62,2.62,2.0,1.38,1.88,2.12,2.12,0.62,0.75,0.12,0.0,0.12,1.38,1.12,0.25,1.12,0.0,2.0,2.12,1.25,1.12,2.12,1.0,1.0,2.0,
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,2.0,2.0,1.25,2.12,1.25,0.0,2.25,2.12,2.0,2.12,2.0,2.88,1.88,1.75,1.88,2.12,2.0,0.25,0.12,0.0,0.0,0.12,1.5,0.88,0.0,1.12,0.0,1.5,2.12,1.12,1.12,2.12,1.38,1.12,2.12,
35-9021.00,Dishwashers,2.12,2.25,1.75,2.12,1.0,0.0,2.12,2.0,1.25,2.12,2.0,2.12,1.88,2.0,1.38,2.0,2.12,0.25,0.12,2.0,0.0,0.0,2.12,2.12,2.0,2.0,2.0,2.0,2.12,1.12,1.12,2.12,0.75,0.88,2.0,1.0
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2.38,2.88,2.12,2.88,1.88,0.0,2.62,2.38,2.12,2.0,2.88,3.0,2.75,2.62,2.0,3.12,1.75,0.0,0.12,0.0,0.0,0.25,0.5,0.25,0.0,0.25,0.0,0.62,1.88,1.88,1.62,2.38,0.25,0.25,2.12,
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,3.25,3.12,3.0,3.38,2.12,0.0,3.25,2.88,3.0,3.88,3.38,3.5,3.12,3.0,3.12,3.12,2.88,1.5,0.38,1.12,0.0,0.0,2.0,1.75,1.75,1.88,1.38,2.62,2.88,2.12,2.38,3.75,2.5,3.0,3.88,
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3.62,3.88,3.0,4.0,2.88,1.0,3.75,3.0,3.0,3.75,3.62,3.75,3.0,3.0,3.0,3.12,3.0,2.12,1.0,1.62,0.38,0.75,3.0,2.88,2.12,2.12,1.88,2.88,3.0,2.88,2.88,3.88,2.25,2.88,3.88,
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2.0,2.25,1.5,2.12,0.0,0.0,2.12,2.0,0.88,1.88,2.12,2.12,1.88,1.5,1.12,2.38,2.0,0.38,0.0,1.0,0.0,0.0,2.0,1.38,1.88,1.62,1.12,1.25,2.12,0.75,0.5,2.12,0.0,0.25,1.38,
37-2012.00,Maids and Housekeeping Cleaners,2.12,2.12,2.0,2.12,1.0,0.0,2.12,1.62,1.5,2.0,2.12,2.62,2.12,2.12,2.12,2.62,2.12,0.25,0.0,0.25,0.0,0.0,1.38,0.62,0.0,0.88,0.0,1.75,2.12,1.0,1.0,2.25,0.62,0.88,2.0,0.0
37-2021.00,Pest Control Workers,3.0,3.0,3.0,3.0,2.62,1.75,3.38,2.88,2.75,3.0,2.88,3.0,3.0,2.88,2.88,3.0,3.0,1.25,0.62,1.88,0.0,0.0,2.75,2.62,1.88,2.0,1.88,2.38,2.88,2.62,2.0,3.0,2.0,2.0,2.88,
37-3011.00,Landscaping and Groundskeeping Workers,1.88,2.25,1.25,1.88,0.75,0.88,1.88,2.0,1.88,1.88,2.0,2.38,1.62,1.38,1.75,2.12,2.12,0.25,0.62,1.75,0.25,0.0,2.25,2.62,1.88,2.0,2.0,2.0,2.25,1.62,1.62,2.0,0.12,0.5,1.75,
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2.88,3.0,2.25,3.0,2.0,1.38,2.88,2.38,2.0,2.75,2.5,2.75,2.38,1.75,2.12,2.25,2.88,0.38,0.38,1.88,0.0,0.0,2.88,3.0,2.25,2.12,1.88,2.25,2.88,2.0,2.0,2.88,1.12,1.25,2.25,
37-3013.00,Tree Trimmers and Pruners,2.5,2.62,2.5,2.75,1.38,0.88,3.0,2.12,2.0,3.0,2.5,3.12,2.12,2.0,3.0,2.5,2.75,0.38,0.62,2.12,0.38,0.0,3.0,3.12,2.38,2.25,2.0,2.62,2.5,2.0,1.62,3.0,1.0,1.0,2.62,
39-1013.00,First-Line Supervisors of Gambling Services Workers,3.19,3.56,3.0,3.5,2.12,0.63,3.81,2.88,2.25,3.44,3.5,3.5,2.94,3.06,2.75,3.25,2.94,0.38,0.38,0.25,0.0,0.25,1.62,1.06,0.62,1.0,0.62,1.75,3.12,2.38,2.31,3.25,1.62,1.31,3.13,
39-1022.00,First-Line Supervisors of Personal Service Workers,3.5,3.75,3.12,3.75,2.12,0.62,3.75,3.0,3.0,3.5,3.75,3.5,3.25,3.12,3.12,3.0,3.12,1.38,0.62,0.0,0.0,0.38,2.12,1.0,0.0,1.0,0.0,2.5,3.12,2.88,3.0,3.88,1.88,2.12,3.62,
39-2011.00,Animal Trainers,3.12,3.0,2.75,3.0,1.62,1.38,3.38,3.12,3.88,3.5,3.0,3.0,2.88,2.25,3.12,3.0,2.75,1.0,0.75,0.12,0.0,0.12,1.5,1.75,0.0,1.25,0.0,2.12,2.88,2.62,2.62,2.75,1.5,1.75,2.5,
39-2021.00,Animal Caretakers,2.88,3.0,2.5,2.75,1.88,0.5,2.88,2.12,2.0,2.88,2.25,2.5,1.75,1.62,2.0,2.88,2.25,0.0,0.62,0.62,0.12,0.25,1.38,0.75,0.5,1.25,0.25,1.5,2.12,1.75,1.62,2.0,0.75,0.88,1.75,
39-3011.00,Gambling Dealers,2.62,3.0,2.25,2.88,2.0,0.0,2.88,2.38,2.0,3.0,2.75,2.75,2.38,2.25,2.62,2.88,2.0,0.0,0.12,0.0,0.0,0.0,0.88,0.25,0.12,0.38,0.0,1.0,2.38,0.88,1.12,2.5,0.5,0.25,1.75,1.0
39-3012.00,Gambling and Sports Book Writers and Runners,3.12,3.12,2.75,2.88,2.75,0.25,2.88,2.5,2.12,3.12,2.88,3.0,2.5,2.0,2.25,2.62,2.25,0.12,0.0,0.0,0.0,0.38,1.75,0.75,0.0,0.75,0.0,1.62,2.5,1.75,1.0,2.12,1.12,0.88,2.62,
39-3021.00,Motion Picture Projectionists,3.0,3.0,2.75,2.88,0.5,0.0,2.75,2.12,2.0,2.88,2.25,2.62,2.0,2.0,1.88,2.5,2.25,1.62,0.25,2.0,0.5,0.62,3.0,2.75,2.62,2.75,2.25,2.62,2.25,1.25,1.12,2.62,0.0,0.5,1.62,
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",2.25,2.75,2.12,2.5,1.38,0.0,2.62,2.12,1.25,2.62,3.0,2.38,2.5,2.25,1.12,3.0,2.12,0.38,0.0,0.0,0.0,0.38,1.75,0.62,0.0,0.88,0.0,1.62,2.12,1.38,1.38,2.0,0.0,0.0,2.0,
39-3091.00,Amusement and Recreation Attendants,2.0,2.5,2.0,2.75,1.75,0.0,2.75,2.0,2.0,2.38,2.38,2.62,2.5,2.12,2.0,2.75,2.12,0.25,0.62,0.12,0.0,0.25,2.25,2.0,0.88,1.38,0.88,1.38,2.12,1.12,1.12,2.12,0.0,0.5,2.0,
39-3092.00,Costume Attendants,3.12,3.12,2.38,3.0,1.0,0.0,2.88,2.25,1.62,3.0,3.0,3.12,2.38,2.38,2.0,2.75,2.38,2.12,0.62,0.12,0.0,0.0,1.25,1.25,0.0,0.75,0.0,1.5,2.38,1.62,1.75,2.25,1.38,1.38,2.12,
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",2.38,2.88,2.12,2.75,0.38,0.0,2.75,2.0,0.38,2.38,2.62,2.38,2.25,2.0,1.62,2.62,2.0,0.25,0.0,0.25,0.0,0.0,0.62,0.5,0.0,0.0,0.0,0.25,2.25,0.0,0.38,2.12,0.0,0.5,1.38,
39-4011.00,Embalmers,3.38,3.75,3.0,3.75,2.0,2.25,3.12,3.0,2.75,3.12,3.88,3.0,2.12,2.62,2.62,3.0,3.0,1.88,1.0,1.0,0.0,0.25,2.12,2.25,1.0,1.62,1.0,1.88,3.0,2.12,2.12,3.12,1.12,1.25,2.75,
39-4021.00,Funeral Attendants,2.62,3.0,2.38,3.0,1.25,0.5,2.75,1.5,1.38,2.88,3.25,3.0,1.88,1.25,1.25,3.0,2.0,0.75,0.5,0.62,0.0,0.12,1.25,1.62,1.25,1.12,0.38,1.25,2.62,1.12,1.0,2.5,1.12,1.38,1.25,
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3.88,4.0,4.0,4.0,2.62,1.75,3.88,3.25,2.88,3.75,4.75,4.0,3.75,3.62,3.12,4.12,3.25,2.75,0.75,0.38,0.0,0.5,3.0,2.75,0.0,1.25,0.0,2.75,3.25,3.0,3.12,3.62,2.75,2.88,3.62,
39-5011.00,Barbers,2.12,3.0,2.0,2.75,1.12,0.25,2.75,2.5,1.62,2.75,2.88,2.38,2.0,1.5,0.75,3.0,2.12,1.25,0.5,1.25,0.0,0.0,1.5,1.5,1.0,1.12,0.88,1.62,2.12,0.88,0.75,2.75,1.12,1.12,1.75,
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",3.0,3.0,2.88,3.0,2.0,1.0,3.5,3.0,3.0,3.0,3.12,2.5,2.75,2.38,3.0,3.25,2.88,1.88,1.0,1.12,0.0,0.38,1.62,0.5,0.38,0.62,0.0,1.0,2.5,2.12,2.25,2.62,0.75,1.12,2.25,0.0
39-5091.00,"Makeup Artists, Theatrical and Performance",3.25,3.25,2.75,3.12,2.12,0.62,3.25,3.25,2.5,3.12,3.0,3.12,2.62,2.38,2.75,2.88,2.75,2.62,0.88,0.62,0.0,0.25,1.5,0.0,0.0,0.62,0.0,2.25,3.0,2.38,2.25,2.88,2.75,2.5,2.25,
39-5092.00,Manicurists and Pedicurists,2.12,2.75,1.88,2.62,1.25,0.0,2.5,2.25,1.88,2.12,2.62,2.25,2.12,2.12,2.0,2.62,2.0,0.5,0.88,0.62,0.0,0.0,0.88,0.12,0.0,0.38,0.0,1.38,2.12,1.75,1.75,2.12,0.38,0.5,1.88,
39-5093.00,Shampooers,2.25,2.62,2.0,2.5,1.12,0.0,2.12,2.0,1.75,2.38,2.62,2.62,1.62,1.62,2.0,2.75,1.88,0.25,0.38,0.38,0.0,0.0,1.62,0.38,0.0,0.62,0.0,0.62,2.12,0.75,0.75,2.25,0.5,0.38,1.62,
39-5094.00,Skincare Specialists,3.12,3.12,2.75,3.0,0.62,0.62,3.0,2.88,2.75,3.0,2.88,2.88,2.5,2.38,2.75,3.38,2.88,1.75,0.38,1.0,0.0,0.0,1.62,0.88,0.0,0.5,0.0,1.12,3.12,1.88,1.88,2.75,0.12,0.5,2.0,
39-6011.00,Baggage Porters and Bellhops,2.62,3.12,2.12,2.62,1.88,0.0,2.75,2.12,2.0,2.25,2.38,2.75,2.12,2.12,2.5,3.0,2.12,0.25,0.25,0.5,0.0,0.25,2.12,2.12,0.75,1.75,0.75,1.62,2.25,2.0,2.12,2.25,1.0,1.0,2.25,
39-6012.00,Concierges,3.25,3.88,2.88,3.38,2.0,0.0,3.62,2.88,2.12,3.0,3.12,3.0,2.88,2.88,2.0,4.0,2.62,0.5,0.75,0.0,0.0,0.38,0.62,0.38,0.0,0.0,0.0,0.38,2.75,2.0,1.88,2.75,0.88,1.12,2.12,0.0
39-7011.00,Tour Guides and Escorts,3.0,3.12,2.25,3.25,1.12,0.0,3.12,2.38,2.62,3.0,3.0,3.0,2.12,2.0,2.25,2.88,2.12,0.88,0.62,0.0,0.0,0.0,0.88,0.12,0.0,0.0,0.0,0.25,2.12,1.0,1.0,2.12,0.0,0.38,1.62,
39-7012.00,Travel Guides,3.5,4.0,3.12,3.25,2.5,0.5,3.5,2.88,3.12,3.25,3.38,3.5,3.38,3.25,3.12,3.5,3.12,1.62,1.12,0.88,0.0,0.88,2.25,2.38,0.0,0.0,0.0,1.0,3.38,2.75,2.5,3.0,2.38,2.38,2.62,
39-9011.00,Childcare Workers,3.0,3.0,2.88,3.0,1.88,0.12,3.0,3.0,3.12,3.12,3.25,3.0,2.88,2.62,2.88,3.25,2.88,0.12,0.88,0.0,0.0,0.0,1.5,0.0,0.0,1.12,0.0,1.88,3.0,2.12,2.25,2.88,0.0,0.25,2.12,0.0
39-9011.01,Nannies,3.0,3.0,2.88,3.38,0.75,1.0,3.25,3.0,3.25,3.88,3.88,3.12,3.25,2.88,3.0,3.5,3.0,1.25,0.75,0.0,0.0,0.0,1.25,1.38,0.0,0.12,0.0,1.38,3.0,2.0,2.5,3.0,1.25,1.62,2.0,
39-9031.00,Exercise Trainers and Group Fitness Instructors,3.12,3.25,2.75,3.25,0.75,0.62,3.12,2.88,3.62,3.62,3.25,3.0,3.0,1.75,3.62,3.25,2.75,2.12,0.88,1.0,0.0,0.25,1.5,0.88,0.88,1.62,0.25,1.62,2.88,2.12,2.5,2.88,0.12,0.88,2.25,
39-9032.00,Recreation Workers,3.25,4.0,3.12,4.0,2.0,0.62,3.62,3.12,3.12,3.38,4.0,4.0,3.12,2.88,3.38,3.75,3.0,1.88,1.0,0.38,0.0,0.38,1.75,0.75,0.0,0.88,0.0,1.5,3.0,2.75,2.75,3.12,2.12,2.38,3.38,
39-9041.00,Residential Advisors,3.38,3.88,3.0,3.88,2.0,0.38,4.0,3.0,2.88,3.62,3.5,3.38,3.0,3.0,3.0,3.12,3.0,1.75,0.88,0.0,0.0,0.5,2.0,1.0,0.0,0.88,0.0,1.25,3.12,2.88,2.75,3.25,2.0,2.12,3.0,
41-1011.00,First-Line Supervisors of Retail Sales Workers,3.88,3.62,3.62,3.88,3.0,0.0,3.88,3.38,3.5,3.88,3.75,3.62,3.62,3.62,3.62,3.75,3.5,2.12,0.88,0.0,0.0,1.0,1.5,0.88,0.0,0.38,0.0,2.0,3.0,2.88,3.0,3.62,2.75,2.75,3.62,
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,4.12,4.0,4.0,4.0,3.0,0.0,3.88,3.62,3.62,4.25,4.0,4.0,3.88,3.75,4.0,3.12,3.62,2.12,0.5,0.0,0.0,0.62,1.0,0.88,0.0,0.12,0.0,2.0,3.88,3.12,3.5,4.0,3.0,3.0,4.0,
